scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90,qp_rows_per_call_p10,qp_rows_per_call_p25,qp_rows_per_call_p50,qp_rows_per_call_p75,qp_rows_per_call_p90
cage,qp-fixed,100,20.972559999999998,45.805724999999995,92.2921,163.32,268.0758,24.0,43.0,84.0,118.0,157.90000000000015,3420.7,6665.0,15458.0,25392.75,36960.70000000003,259.4017402672147,263.1102586014742,268.97008702774065,273.5525252893615,276.9531736274139
cage,qp-lipsch,100,12.44518,30.976675,73.55135,128.5985,226.40480000000002,24.0,42.5,84.5,124.5,165.80000000000024,1841.9,4535.5,11094.5,19872.75,33330.30000000002,260.29726556566925,265.3291470799803,270.6181131668896,274.9940840541375,282.36848137305947
cage,qp-free,99,385.5296,892.442,1418.3300000000002,2627.935,3888.6500000000005,176.6,321.0,525.0,838.5,1460.0000000000002,91718.80000000002,173880.0,303770.0,488053.5,930756.0,,,,,
cage,qp-envelope,100,9.006390999999999,27.3463,77.9098,134.89975,202.53730000000004,24.0,43.0,91.0,133.0,184.80000000000007,1218.1000000000001,3572.0,9590.0,17617.75,27860.4,257.49015735254267,263.7843321635394,269.8931176887768,275.5788246077132,285.0926995944477
table_pick,rrtconnect,100,1.6689479999999999,2.4089225,3.61781,6.162565,10.158220000000005,7.0,8.0,10.0,17.0,23.10000000000001,865.8,1171.0,1667.5,2989.25,4410.2000000000035,,,,,
table_pick,qp-plain,100,2.120911,2.941115,4.4429,5.407942499999999,8.16986500000001,5.0,6.0,7.0,7.0,12.0,394.7,507.0,650.0,741.75,1148.8000000000009,343.0,343.0,343.0,343.0,343.0
table_pick,qp-fixed,100,1.9982709999999997,2.7042024999999996,3.927135,4.8306925,7.332913000000018,5.0,6.0,7.0,7.0,12.0,394.7,507.0,650.0,741.75,1148.8000000000009,227.807770242329,237.2340893842726,244.77155722326455,261.794549526386,277.59754793565526
table_pick,qp-lipsch,100,0.4095846,0.6377649999999999,0.999737,2.5171900000000003,6.140497000000002,5.0,6.0,7.0,7.0,12.0,70.9,96.5,137.0,334.5,684.2000000000003,253.48430107526883,259.2853624349219,270.5828575778336,284.8963832815735,295.6064184235968
table_pick,qp-free,100,5.872175,11.237300000000001,20.192,35.765924999999996,61.249700000000054,8.9,12.0,18.0,25.0,34.10000000000001,1185.9,2322.75,3933.0,7684.5,11061.600000000004,,,,,
table_pick,qp-envelope,100,0.3353174,0.467643,0.7367725,1.92489,4.4446990000000115,5.0,6.0,7.0,8.0,14.0,41.9,53.0,77.5,241.0,498.6000000000007,253.84563150805576,260.09175084175087,273.15555555555557,287.3515615389347,295.2459149083362
table_under_pick,rrtconnect,59,2.8189180000000005,3.713555,4.94263,6.62562,9.355498,8.0,10.0,14.0,16.0,21.0,1160.2,1630.5,2348.0,2880.5,3876.0,,,,,
table_under_pick,qp-plain,60,5.436349,9.208265,17.865099999999998,28.292675,58.85457,10.0,13.0,17.5,32.25,47.60000000000001,779.3000000000001,1432.5,2178.5,3779.5,7243.800000000001,343.0,343.0,343.0,343.0,343.0
table_under_pick,qp-fixed,60,5.240050999999999,8.857719999999999,16.901699999999998,27.060450000000003,53.45819,10.0,13.0,17.5,32.25,47.60000000000001,779.3000000000001,1432.5,2178.5,3779.5,7243.800000000001,249.72834655260323,255.615,274.02514262154773,288.54631254539635,296.024379229369
table_under_pick,qp-lipsch,60,3.285745,5.3176575,11.5993,24.334699999999998,48.245830000000005,10.0,13.0,18.0,34.0,50.400000000000006,417.40000000000003,878.5,1457.5,3033.0,5817.2,246.48622103610526,256.8396218503569,280.40728006985375,289.6147735857049,296.49754339863034
table_under_pick,qp-free,59,14.99306,25.75195,39.5946,64.3713,90.95406000000003,11.8,16.0,23.0,31.0,41.60000000000001,3430.2000000000003,5058.5,8071.0,12783.5,17877.600000000002,,,,,
table_under_pick,qp-envelope,60,1.9030660000000001,4.0813500000000005,9.122305,18.04495,35.70776000000001,10.0,12.75,16.5,34.0,49.300000000000004,197.60000000000002,533.25,1058.0,2132.5,4384.0,248.12022915564955,259.0475543276365,279.1756936303243,290.24040529792165,295.7831063473534
