seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves,gate_blocked,gate_repaired
1,bookshelf_tall,76,isSafe,1,1,0.0299014,6157,33,16.1381,10,808,0,0.00515686,0.00249477,0,0,0,0,85,28,0.388235,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,76,qpFixed,1,1,0.0271585,2014,13,14.7906,1230,1230,0,0.000330569,3.31852e-05,0,0,0.00982467,0,6,4,2.16667,0,0,0,1,0,0,2013,550334,1845,0,1845
1,bookshelf_tall,76,qpPlain,1,1,0.0273439,2014,13,14.7906,1230,1230,0,0.000330569,3.31852e-05,0,0,0.00982467,0,6,4,2.16667,0,0,0,1,0,0,2013,688446,2013,0,1845
1,bookshelf_tall,76,qpAdaptive,1,1,0.0210486,1622,13,14.7964,1169,1169,0,0.000328158,3.32499e-05,0,0,0.0122176,0.196671,6,4,2.16667,0,0,0,0.801357,0.194941,0.00370142,1621,446905,1478,0,1478
1,bookshelf_tall,76,qpFreeGate,1,1,0.0980123,13065,114,13.5991,994,994,0,0.00759192,0.00249477,0,0,0.0136702,0,388,110,0.293814,0,0,0,1,0,0,13065,3848310,0,442,0
1,bookshelf_tall,76,qpFreeEnvelope,1,1,0.0143847,874,118,19.5983,1003,1003,0,0.00759192,0.00249477,0,0,0.207465,0.469108,388,114,0.304124,0,0,0,0.0462963,0.8125,0.141204,874,261881,0,442,0
1,bookshelf_tall,76,qpEnvelope,1,1,0.0166209,1190,13,14.8489,1073,1073,0,0.000341044,3.24863e-05,0,0,0.0167471,0.0789916,6,4,2.16667,0,0,0,0.920942,0.0723297,0.00672834,1189,329332,1079,0,1079
1,bookshelf_tall,76,VAMP,1,1,0.00025926,4994,33,16.1381,10,808,0,0.00515686,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,2,isSafe,1,1,0.0307294,4774,26,16.4444,10,824,0,0.00729709,0.00249477,0,0,0,0,68,22,0.382353,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,2,qpFixed,1,1,0.0261048,1557,15,11.2979,1007,1007,0,5.22848e-05,0.00249477,0,0,0.0110404,0,4,4,3.75,0,0,0,1,0,0,1555,416858,1319,0,1319
