seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves,gate_blocked,gate_repaired
1,bookshelf_tall,22,isSafe,1,1,0.0520716,7081,38,13.9428,9,699,0,0.00669668,0.0016993,0,0,0,0,140,34,0.271429,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,22,qpFixed,1,1,0.0451813,2142,16,17.095,1290,1290,0,0.00022362,0.00249477,0,0,0.0111373,0,4,4,4,0,0,0,1,0,0,2142,628785,2014,0,2014
1,bookshelf_tall,22,qpPlain,1,1,0.0467589,2142,16,17.095,1290,1290,0,0.00022362,0.00249477,0,0,0.0111373,0,4,4,4,0,0,0,1,0,0,2142,732564,2142,0,2014
1,bookshelf_tall,22,qpAdaptive,1,1,0.0330756,1660,16,17.0927,1211,1211,0,0.000234718,0.00249477,0,0,0.0143666,0.205422,4,4,4,0,0,0,0.793976,0.201205,0.00481928,1660,495064,1624,0,1624
1,bookshelf_tall,22,qpFreeGate,1,1,0.349367,29906,257,13.3014,983,983,0,0.00680062,0.00249477,0,0,0.0133225,0,1234,252,0.208266,0,0,0,1,0,0,29906,8903847,0,1361,0
1,bookshelf_tall,22,qpFreeEnvelope,1,1,0.051413,2183,302,15.9996,816,816,0,0.00680062,0.00229314,0,0,0.200662,0.36601,1234,296,0.244733,0,0,0,0.00496894,0.803727,0.191304,2183,666654,0,1378,0
1,bookshelf_tall,22,qpEnvelope,1,1,0.023487,1103,16,17.1128,1067,1067,0,0.000247257,0.00249477,0,0,0.0216366,0.127833,4,4,4,0,0,0,0.870354,0.121487,0.00815956,1103,334788,1094,0,1094
1,bookshelf_tall,22,VAMP,1,1,0.000599669,7340,41,13.9428,9,699,0,0.00669668,0.0016993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,47,isSafe,1,1,0.0238975,3181,18,14.5593,9,729,0,0.0104641,0.00249477,0,0,0,0,53,14,0.339623,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,47,qpFixed,1,1,0.0779636,3666,27,20.1602,1800,1800,0,0.000655644,0.00249477,0,0,0.00941737,0,10,10,2.7,0,0,0,1,0,0,3666,1008118,3283,0,3283
1,bookshelf_tall,47,qpPlain,1,1,0.0792778,3666,27,20.1602,1800,1800,0,0.000655644,0.00249477,0,0,0.00941737,0,10,10,2.7,0,0,0,1,0,0,3666,1253772,3666,0,3283
1,bookshelf_tall,47,qpAdaptive,1,1,0.0486426,2558,32,20.3239,1461,1461,0,0.000657403,0.00249477,0,0,0.0135368,0.399531,10,10,3.2,0,0,0,0.598124,0.392885,0.0089914,2558,710951,2489,0,2489
1,bookshelf_tall,47,qpFreeGate,1,1,0.040641,3473,29,18.7776,1294,1294,0,0.0104568,0.00249477,0,0,0.013654,0,97,25,0.298969,0,0,0,1,0,0,3473,1012409,0,107,0
1,bookshelf_tall,47,qpFreeEnvelope,1,1,0.0153912,626,84,23.963,1231,1231,0,0.00999356,0.00249477,0,0,0.204045,0.42492,321,79,0.261682,0,0,0,0,0.835821,0.164179,626,187319,0,358,0
1,bookshelf_tall,47,qpEnvelope,1,1,0.0404896,1882,27,19.4057,1302,1302,0,0.000350121,0.00249477,0,0,0.0178439,0.168969,10,9,2.7,0,0,0,0.829968,0.162062,0.00797024,1882,533346,1859,0,1859
1,bookshelf_tall,47,VAMP,1,1,0.000107842,1176,10,12.0949,8,606,0,0.00127948,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,72,isSafe,1,1,0.00665111,879,7,8.67745,6,435,0,0.00113965,0.00249477,0,0,0,0,2,2,3.5,0,0,0,0,0,0,0,0,0,0,0
