seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves,gate_blocked,gate_repaired
1,bookshelf_tall,4,isSafe,1,1,0.0194442,4294,23,16.9422,10,849,0,0.00978464,0.00249477,0,0,0,0,76,20,0.302632,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,4,qpFixed,1,1,0.0317522,2415,24,9.89486,791,791,0,0.010025,0.00249477,0,0,0.0110322,0,6,6,4,0,0,0,1,0,0,2415,709751,2015,0,2015
1,bookshelf_tall,4,qpPlain,1,1,0.0354725,2415,24,9.89486,791,791,0,0.010025,0.00249477,0,0,0.0110322,0,6,6,4,0,0,0,1,0,0,2415,825930,2415,0,2015
1,bookshelf_tall,4,qpAdaptive,1,1,0.0141506,1276,24,9.91147,604,604,0,0.010025,0.00249477,0,0,0.0208848,0.519592,6,6,4,0,0,0,0.475705,0.50627,0.0180251,1276,375308,1156,0,1156
1,bookshelf_tall,4,qpFreeGate,1,1,0.0574649,8185,71,18.8141,1331,1331,0,0.010025,0.00249477,0,0,0.0138292,0,226,65,0.314159,0,0,0,1,0,0,8185,2425242,0,256,0
1,bookshelf_tall,4,qpFreeEnvelope,1,1,0.00464678,289,44,18.1733,927,927,0,0.010025,0.00249477,0,0,0.233839,0.453287,141,39,0.312057,0,0,0,0,0.816794,0.183206,289,88488,0,158,0
1,bookshelf_tall,4,qpEnvelope,1,1,0.0087152,674,23,9.98442,528,528,0,0.010025,0.00249477,0,0,0.0395284,0.28635,6,6,3.83333,0,0,0,0.707715,0.259644,0.0326409,674,196890,630,0,630
1,bookshelf_tall,4,VAMP,1,1,0.000160177,3178,23,13.5528,8,679,0,0.00978464,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,30,isSafe,1,1,0.0164148,3614,20,16.3361,10,818,0,0.00155312,0.00249477,0,0,0,0,49,15,0.408163,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,30,qpFixed,1,1,0.00514763,418,6,6.13026,419,419,0,0.00592392,0.00249477,0,0,0.0146657,0,1,1,6,0,0,0,1,0,0,418,121089,126,0,126
1,bookshelf_tall,30,qpPlain,1,1,0.00522993,418,6,6.13026,419,419,0,0.00592392,0.00249477,0,0,0.0146657,0,1,1,6,0,0,0,1,0,0,418,142956,418,0,126
1,bookshelf_tall,30,qpAdaptive,1,1,0.000869327,90,6,6.13142,352,352,0,0.00592392,0.00249477,0,0,0.0681269,0.866667,1,1,6,0,0,0,0.133333,0.822222,0.0444444,90,28162,64,0,64
1,bookshelf_tall,30,qpFreeGate,1,1,0.362929,49723,454,15.6192,1144,1144,0,0.00595879,0.00249477,0,0,0.013389,0,2108,450,0.21537,0,0,0,1,0,0,49723,14912091,0,2337,0
1,bookshelf_tall,30,qpFreeEnvelope,1,1,0.030943,2026,285,18.954,968,968,0,0.00644106,0.00249477,0,0,0.201465,0.357848,1157,281,0.246327,0,0,0,0,0.806319,0.193681,2026,626939,0,1298,0
1,bookshelf_tall,30,qpEnvelope,1,1,0.000519815,35,6,6.13407,323,323,0,0.00592392,0.00249477,0,0,0.175259,0.714286,1,1,6,0,0,0,0.285714,0.6,0.114286,35,10876,27,0,27
1,bookshelf_tall,30,VAMP,1,1,0.000141826,2889,21,10.6492,7,534,0,0.00155312,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,54,isSafe,1,1,0.0309134,6555,33,7.64347,5,384,0,0.00305955,0.00249477,0,0,0,0,102,30,0.323529,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,54,qpFixed,1,1,0.0151099,1156,11,10.2039,778,778,0,0.00178824,0.00249477,0,0,0.0110093,0,3,3,3.66667,0,0,0,1,0,0,1155,321813,671,0,671
1,bookshelf_tall,54,qpPlain,1,1,0.0153439,1156,11,10.2039,778,778,0,0.00178824,0.00249477,0,0,0.0110093,0,3,3,3.66667,0,0,0,1,0,0,1155,395010,1155,0,671
1,bookshelf_tall,54,qpAdaptive,1,1,0.00530569,419,11,10.1946,668,668,0,0.00186046,0.00249477,0,0,0.0304734,0.369928,3,3,3.66667,0,0,0,0.624402,0.356459,0.0191388,418,129226,381,0,381
1,bookshelf_tall,54,qpFreeGate,1,1,0.21947,29963,266,11.0357,794,794,0,0.0059398,0.00249477,0,0,0.0133053,0,1292,262,0.205882,0,0,0,1,0,0,29963,8933106,0,1424,0
1,bookshelf_tall,54,qpFreeEnvelope,1,1,0.0330933,2213,300,26.7225,1364,1364,0,0.0059398,0.00249477,0,0,0.188845,0.346136,1293,295,0.232019,0,0,0,0,0.811198,0.188802,2213,677355,0,1445,0
1,bookshelf_tall,54,qpEnvelope,1,1,0.00271143,195,14,10.1441,558,558,0,0.00273625,0.00249477,0,0,0.0693687,0.548718,3,3,4.66667,0,0,0,0.441026,0.492308,0.0666667,195,59722,180,0,180
1,bookshelf_tall,54,VAMP,1,1,0.000232606,7826,33,7.64347,5,384,0,0.00305955,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,79,isSafe,1,1,0.0225296,4772,26,16.0462,10,804,0,0.00246609,0.00249477,0,0,0,0,106,21,0.245283,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,79,qpFixed,1,1,0.0749607,5491,33,14.3521,1206,1206,0,0.000173148,0.00249477,0,0,0.00922708,0,20,17,1.65,0,0,0,1,0,0,5484,1577657,5128,0,5128
1,bookshelf_tall,79,qpPlain,1,1,0.0769086,5491,33,14.3521,1206,1206,0,0.000173148,0.00249477,0,0,0.00922708,0,20,17,1.65,0,0,0,1,0,0,5484,1875528,5484,0,5128
1,bookshelf_tall,79,qpAdaptive,1,1,0.0561046,4172,34,14.3741,969,969,0,0.000153751,0.00249477,0,0,0.0125807,0.242809,20,17,1.7,0,0,0,0.7545,0.240461,0.0050396,4167,1213804,4099,0,4099
1,bookshelf_tall,79,qpFreeGate,1,1,0.195187,24856,224,28.5412,2082,2082,0,0.00246609,0.00249477,0,0,0.0134257,0,966,220,0.231884,0,0,0,1,0,0,24856,7436776,0,1078,0
1,bookshelf_tall,79,qpFreeEnvelope,1,1,0.0280895,1833,238,23.5987,1207,1207,0,0.00246609,0.00249477,0,0,0.186709,0.380797,966,234,0.246377,0,0,0,0.0616622,0.785523,0.152815,1833,566184,0,1087,0
1,bookshelf_tall,79,qpEnvelope,1,1,0.0390572,2737,34,14.499,893,893,0,5.89899e-05,0.00249477,0,0,0.0192288,0.185605,20,17,1.7,0,0,0,0.813255,0.177957,0.00878799,2731,801075,2714,0,2714
1,bookshelf_tall,79,VAMP,1,1,0.00019697,6308,27,18.0419,11,904,0,0.00246609,0.00222519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,5,isSafe,1,1,0.328282,50998,250,34.6506,19,1734,0,0.00804485,0.00109427,0,0,0,0,1288,247,0.194099,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,5,qpFixed,1,1,0.0108195,681,8,9.33859,682,682,0,0.00379854,0.00249477,0,0,0.0137131,0,1,1,8,0,0,0,1,0,0,681,166305,201,0,201
1,bookshelf_thin,5,qpPlain,1,1,0.01128,681,8,9.33859,682,682,0,0.00379854,0.00249477,0,0,0.0137131,0,1,1,8,0,0,0,1,0,0,681,232902,681,0,201
1,bookshelf_thin,5,qpAdaptive,1,1,0.00291097,205,8,9.34393,551,551,0,0.00379854,0.00249477,0,0,0.0455801,0.478049,1,1,8,0,0,0,0.517073,0.453659,0.0292683,205,57363,158,0,158
1,bookshelf_thin,5,qpFreeGate,1,1,0.485161,54218,495,27.5688,1947,1947,0,0.00801367,0.00249477,0,0,0.0132749,0,2169,489,0.228216,0,0,0,1,0,0,54218,16085886,0,2386,0
1,bookshelf_thin,5,qpFreeEnvelope,1,1,0.0736125,3743,560,24.9281,1273,1273,0,0.00801577,0.00249477,0,0,0.209316,0.354796,2166,557,0.258541,0,0,0,0,0.764222,0.235778,3743,1133171,0,2407,0
1,bookshelf_thin,5,qpEnvelope,1,1,0.00163926,96,7,9.27743,507,507,0,0.00395677,0.00249477,0,0,0.0966399,0.385417,1,1,7,0,0,0,0.614583,0.333333,0.0520833,96,27018,74,0,74
1,bookshelf_thin,5,VAMP,1,1,0.00294357,86087,277,34.6506,19,1734,0,0.00804485,0.00109427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,29,isSafe,1,1,0.00609257,971,7,8.78674,6,441,0,0.00053333,0.00249477,0,0,0,0,5,3,1.4,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,29,qpFixed,1,1,0.00806768,545,6,7.0448,546,546,0,0.00524358,0.00249477,0,0,0.0129262,0,1,1,6,0,0,0,1,0,0,545,117027,37,0,37
1,bookshelf_thin,29,qpPlain,1,1,0.0087231,545,6,7.0448,546,546,0,0.00524358,0.00249477,0,0,0.0129262,0,1,1,6,0,0,0,1,0,0,545,186390,545,0,37
1,bookshelf_thin,29,qpAdaptive,1,1,0.000700048,62,6,7.04485,386,386,0,0.00524358,0.00249477,0,0,0.113627,0.693548,1,1,6,0,0,0,0.306452,0.629032,0.0645161,62,14978,29,0,29
