seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves,gate_blocked,gate_repaired
1,bookshelf_tall,99,isSafe,1,1,0.00877365,1110,8,10.8365,7,543,0,0.0106292,0.00249477,0,0,0,0,12,3,0.666667,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,99,qpFixed,1,1,0.0654053,3136,20,19.7761,1649,1649,0,0.000158988,0.00249477,0,0,0.00990209,0,11,7,1.81818,0,0,0,1,0,0,3136,751532,2904,0,2904
1,bookshelf_tall,99,qpPlain,1,1,0.0715192,3136,20,19.7761,1649,1649,0,0.000158988,0.00249477,0,0,0.00990209,0,11,7,1.81818,0,0,0,1,0,0,3136,1072512,3136,0,2904
1,bookshelf_tall,99,qpAdaptive,1,1,0.0483766,2454,20,19.7954,1510,1510,0,0.00015926,0.00249477,0,0,0.0126653,0.270986,11,7,1.81818,0,0,0,0.727384,0.268541,0.00407498,2454,584377,2372,0,2372
1,bookshelf_tall,99,qpFreeGate,1,1,0.00926658,776,9,10.1999,708,708,0,0.0106292,0.00249477,0,0,0.0141609,0,12,4,0.75,0,0,0,1,0,0,776,230552,0,13,0
1,bookshelf_tall,99,qpFreeEnvelope,1,1,0.00114154,40,9,10.28,530,530,0,0.0106292,0.00249477,0,0,0.288017,0.675,12,4,0.75,0,0,0,0,0.814815,0.185185,40,11907,0,13,0
1,bookshelf_tall,99,qpEnvelope,1,1,0.0329354,1584,20,19.899,1305,1305,0,0.000145709,0.00249477,0,0,0.0197142,0.175505,11,7,1.81818,0,0,0,0.823864,0.168561,0.00757576,1584,375182,1564,0,1564
1,bookshelf_tall,99,VAMP,1,1,8.385e-05,810,8,10.8365,7,543,0,0.0106292,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,23,isSafe,1,1,0.0852343,8383,42,19.6598,11,984,0,0.000427625,0.00249477,0,0,0,0,146,38,0.287671,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,23,qpFixed,1,1,0.0764563,2916,25,17.3895,1586,1586,0,4.1506e-05,0.000469121,0,0,0.0100001,0,8,7,3.125,0,0,0,1,0,0,2913,789661,2486,0,2486
1,bookshelf_thin,23,qpPlain,1,1,0.0773331,2916,25,17.3895,1586,1586,0,4.1506e-05,0.000469121,0,0,0.0100001,0,8,7,3.125,0,0,0,1,0,0,2913,996246,2913,0,2486
1,bookshelf_thin,23,qpAdaptive,1,1,0.0415459,1716,27,17.3838,1302,1302,0,4.32546e-05,0.00044986,0,0,0.0170173,0.263986,8,7,3.375,0,0,0,0.728546,0.258027,0.0134267,1713,471216,1671,0,1671
1,bookshelf_thin,23,qpFreeGate,1,1,0.107343,7478,63,23.8732,1632,1632,0,0.00438289,0.00249477,0,0,0.0139546,0,242,59,0.260331,0,0,0,1,0,0,7478,2192537,0,272,0
1,bookshelf_thin,23,qpFreeEnvelope,1,1,0.0139084,470,71,22.4138,1144,1144,0,0.00438289,0.00249477,0,0,0.231153,0.404255,242,68,0.293388,0,0,0,0.040201,0.763819,0.19598,470,137285,0,271,0
1,bookshelf_thin,23,qpEnvelope,1,1,0.0578769,2188,33,12.3273,725,725,0,0.000458481,0.00249477,0,0,0.0212467,0.140311,16,13,2.0625,0,0,0,0.858059,0.130952,0.010989,2184,618545,2160,0,2160
1,bookshelf_thin,23,VAMP,1,1,0.000642523,9657,43,19.6598,11,984,0,0.000427625,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,47,isSafe,1,1,0.772213,76560,378,17.449,10,874,0,0.0041587,0.00249477,0,0,0,0,2038,375,0.185476,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,47,qpFixed,1,1,0.0201161,793,13,9.01006,573,573,0,0.00557745,0.00249477,0,0,0.014428,0,2,2,6.5,0,0,0,1,0,0,793,186894,351,0,351
1,bookshelf_thin,47,qpPlain,1,1,0.0209012,793,13,9.01006,573,573,0,0.00557745,0.00249477,0,0,0.014428,0,2,2,6.5,0,0,0,1,0,0,793,271206,793,0,351
1,bookshelf_thin,47,qpAdaptive,1,1,0.00735495,324,12,9.0019,491,491,0,0.00557745,0.00249477,0,0,0.0352877,0.317901,2,2,6,0,0,0,0.675926,0.296296,0.0277778,324,76358,293,0,293
1,bookshelf_thin,47,qpFreeGate,1,1,1.36467,94055,903,16.6674,1136,1136,0,0.00653022,0.00249477,0,0,0.0131262,0,4166,900,0.216755,0,0,0,1,0,0,94055,27991336,0,4549,0
1,bookshelf_thin,47,qpFreeEnvelope,1,1,0.214732,7463,1087,20.0271,1023,1023,0,0.00653022,0.00249477,0,0,0.188265,0.333244,4508,1082,0.241127,0,0,0,0,0.7499,0.2501,7463,2171507,0,4968,0
1,bookshelf_thin,47,qpEnvelope,1,1,0.00509688,202,11,9.00038,473,473,0,0.00469274,0.00249477,0,0,0.0565954,0.193069,2,2,5.5,0,0,0,0.80198,0.158416,0.039604,202,46884,189,0,189
1,bookshelf_thin,47,VAMP,1,1,0.0099846,149428,411,21.4094,12,1072,0,0.0041587,0.000376511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,71,isSafe,1,1,0.0271431,2668,15,15.2831,9,766,0,0.00232049,0.00249477,0,0,0,0,35,11,0.428571,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,71,qpFixed,1,1,0.0117961,489,6,6.5336,490,490,0,0.00535179,0.00249477,0,0,0.0133612,0,1,1,6,0,0,0,1,0,0,489,129526,93,0,93
1,bookshelf_thin,71,qpPlain,1,1,0.0125147,489,6,6.5336,490,490,0,0.00535179,0.00249477,0,0,0.0133612,0,1,1,6,0,0,0,1,0,0,489,167238,489,0,93
1,bookshelf_thin,71,qpAdaptive,1,1,0.00265942,126,6,6.53363,373,373,0,0.00535179,0.00249477,0,0,0.0518542,0.492063,1,1,6,0,0,0,0.507937,0.460317,0.031746,126,33925,89,0,89
1,bookshelf_thin,71,qpFreeGate,1,1,0.221484,15151,138,10.7492,742,742,0,0.00714434,0.00249477,0,0,0.0135834,0,567,134,0.243386,0,0,0,1,0,0,15151,4527292,0,640,0
1,bookshelf_thin,71,qpFreeEnvelope,1,1,0.0304998,1036,159,15.735,802,802,0,0.00714434,0.00249477,0,0,0.214643,0.371622,564,155,0.281915,0,0,0,0,0.812339,0.187661,1036,310640,0,647,0
1,bookshelf_thin,71,qpEnvelope,1,1,0.000912494,35,6,6.5358,343,343,0,0.00714434,0.00249477,0,0,0.186737,0.657143,1,1,6,0,0,0,0.342857,0.542857,0.114286,35,9643,24,0,24
1,bookshelf_thin,71,VAMP,1,1,0.000264959,2447,15,15.2831,9,766,0,0.00232049,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,96,isSafe,1,1,0.0993236,9845,48,14.1849,9,711,0,0.00363055,0.00249477,0,0,0,0,166,44,0.289157,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,96,qpFixed,1,1,0.0177934,719,7,8.16962,720,720,0,0.00363055,0.00249477,0,0,0.0113625,0,1,1,7,0,0,0,1,0,0,719,175703,118,0,118
1,bookshelf_thin,96,qpPlain,1,1,0.0181959,719,7,8.16962,720,720,0,0.00363055,0.00249477,0,0,0.0113625,0,1,1,7,0,0,0,1,0,0,719,245898,719,0,118
1,bookshelf_thin,96,qpAdaptive,1,1,0.00385268,154,7,8.17059,492,492,0,0.00363055,0.00249477,0,0,0.0530558,0.376623,1,1,7,0,0,0,0.623377,0.344156,0.0324675,154,42407,116,0,116
1,bookshelf_thin,96,qpFreeGate,1,1,0.203034,14071,123,21.3839,1603,1603,0,0.00363055,0.00249477,0,0,0.0137159,0,425,115,0.289412,0,0,0,1,0,0,14071,4165618,0,483,0
1,bookshelf_thin,96,qpFreeEnvelope,1,1,0.0245236,801,130,16.1181,823,823,0,0.00363055,0.00249477,0,0,0.250041,0.398252,424,125,0.306604,0,0,0,0,0.78125,0.21875,801,241218,0,481,0
1,bookshelf_thin,96,qpEnvelope,1,1,0.000959812,40,7,8.17703,430,430,0,0.00363055,0.00249477,0,0,0.204426,0.8,1,1,7,0,0,0,0.2,0.675,0.125,40,11097,24,0,24
1,bookshelf_thin,96,VAMP,1,1,0.000952533,12657,49,14.1849,9,711,0,0.00363055,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,table_under_pick,20,isSafe,1,1,0.0249154,4300,23,18.3484,11,919,0,0.00390373,0.00249477,0,0,0,0,57,18,0.403509,0,0,0,0,0,0,0,0,0,0,0
1,table_under_pick,20,qpFixed,1,1,0.115837,6812,33,18.4669,1582,1582,0,0.000183502,0.00249477,0,0,0.00885573,0,25,16,1.32,0,0,0,1,0,0,6811,1738024,5181,0,5181
1,table_under_pick,20,qpPlain,1,1,0.122966,6812,33,18.4669,1582,1582,0,0.000183502,0.00249477,0,0,0.00885573,0,25,16,1.32,0,0,0,1,0,0,6811,2329362,6811,0,5181
1,table_under_pick,20,qpAdaptive,1,1,0.0735442,4372,33,18.4718,1200,1200,0,0.000182955,0.00249477,0,0,0.0136082,0.165828,25,16,1.32,0,0,0,0.832952,0.161785,0.00526316,4370,1068491,4197,0,4197
1,table_under_pick,20,qpFreeGate,1,1,2.60797,253906,2797,21.0168,1579,1579,0,0.00734136,0.00249477,0,0,0.0129511,0,14756,2793,0.18955,0,0,0,1,0,0,253906,76265584,0,15912,0
