seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves,gate_blocked,gate_repaired
1,bookshelf_tall,12,isSafe,1,1,0.16096,21849,111,25.8453,15,1294,0,0.00431766,0.00249477,0,0,0,0,624,107,0.177885,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,12,qpFixed,1,1,0.0930473,4474,24,21.157,2021,2021,0,0.000496037,7.15772e-05,0,0,0.00850987,0,13,11,1.84615,0,0,0,1,0,0,4474,1284075,3761,0,3761
1,bookshelf_tall,12,qpPlain,1,1,0.0955456,4474,24,21.157,2021,2021,0,0.000496037,7.15772e-05,0,0,0.00850987,0,13,11,1.84615,0,0,0,1,0,0,4474,1530108,4474,0,3761
1,bookshelf_tall,12,qpAdaptive,1,1,0.0603219,2911,25,21.1881,1602,1602,0,0.000496037,6.08042e-05,0,0,0.0130773,0.191343,13,11,1.92308,0,0,0,0.806596,0.187908,0.00549639,2911,845877,2802,0,2802
1,bookshelf_tall,12,qpFreeGate,1,1,0.513198,43509,394,25.5733,1773,1773,0,0.00431766,0.00249477,0,0,0.0133047,0,2071,390,0.190246,0,0,0,1,0,0,43509,13085504,0,2264,0
1,bookshelf_tall,12,qpFreeEnvelope,1,1,0.0319036,1406,173,24.4284,1246,1246,0,0.00431766,0.00249477,0,0,0.182302,0.349929,797,169,0.217064,0,0,0,0.0592734,0.780115,0.160612,1406,426526,0,883,0
1,bookshelf_tall,12,qpEnvelope,1,1,0.0614686,2814,32,24.8553,1544,1544,0,0.000496037,5.88725e-05,0,0,0.0172195,0.132907,16,14,2,0,0,0,0.866738,0.125444,0.00781805,2814,819763,2775,0,2775
1,bookshelf_tall,12,VAMP,1,1,0.00164227,21847,99,17.335,11,868,1,-0.000121844,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,38,isSafe,1,1,0.437747,57950,305,19.8698,12,995,0,0.00100988,0.00249477,0,0,0,0,1870,301,0.163102,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,38,qpFixed,1,1,0.0231327,1088,10,11.1159,936,936,0,0.00171321,0.00249477,0,0,0.010727,0,2,2,5,0,0,0,1,0,0,1088,314521,830,0,830
