scene,index,planner,skipped,solved,seconds,evaluations,vertices,rad_per_call,coarse,min_clearance,unsafe_states,audited_states,misses,min_self_overlap,self_colliding
bookshelf_tall,33,cbf-rrtc,0,1,8.8847e-05,45,5,0.109458,0.511111,-0.000139586,4,269,0,0.00249477,0
bookshelf_tall,34,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,34,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,35,rrtconnect,0,0,5.00005,1634211,40511,0,0,,,,,,
bookshelf_tall,35,cbf-rrtc,0,0,5.00009,2126195,5332,0.0133352,0.0204516,,,,,,
bookshelf_tall,36,rrtconnect,0,1,0.00818611,8715,100,0,0,0.00120258,0,703,0,0.00249477,0
bookshelf_tall,36,cbf-rrtc,0,1,0.0041953,1574,22,0.0307278,0.0495553,-0.00114408,156,687,0,0.00249477,0
bookshelf_tall,37,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,37,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,38,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,38,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,39,rrtconnect,0,0,5.00004,1617951,40018,0,0,,,,,,
bookshelf_tall,39,cbf-rrtc,0,0,5.00002,2143124,5473,0.013412,0.0199797,,,,,,
bookshelf_tall,40,rrtconnect,0,1,0.0557105,55336,706,0,0,0.00213938,0,1322,0,0.00249477,0
bookshelf_tall,40,cbf-rrtc,0,1,0.000594798,224,7,0.0398083,0.111607,-0.000199471,73,481,0,0.00249477,0
bookshelf_tall,41,rrtconnect,0,1,0.000484533,518,9,0,0,0.000589541,0,634,0,0.00249477,0
bookshelf_tall,41,cbf-rrtc,0,1,0.00394626,1592,23,0.0296652,0.031407,-0.00155134,181,792,0,0.00249477,0
bookshelf_tall,42,rrtconnect,0,1,0.00379298,4089,45,0,0,0.000488841,0,578,0,0.00249477,0
bookshelf_tall,42,cbf-rrtc,0,1,0.0042607,1688,25,0.0345617,0.147512,-0.000552737,27,683,0,0.00249477,0
bookshelf_tall,43,rrtconnect,0,0,5.00001,1641122,40605,0,0,,,,,,
bookshelf_tall,43,cbf-rrtc,0,0,5.00005,2139245,5448,0.0133405,0.0203427,,,,,,
bookshelf_tall,44,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,44,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,45,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,45,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,46,rrtconnect,0,1,0.000496272,526,8,0,0,0.000104013,0,506,0,0.00249477,0
bookshelf_tall,46,cbf-rrtc,0,1,0.000113938,57,6,0.120981,0.508772,0.000246945,0,368,0,0.00249477,0
bookshelf_tall,47,rrtconnect,0,1,0.000769742,822,12,0,0,0.0027863,0,680,0,0.00249477,0
bookshelf_tall,47,cbf-rrtc,0,1,0.00153967,628,12,0.0337214,0.136943,-0.00442946,250,865,0,0.00249477,0
bookshelf_tall,48,rrtconnect,0,0,5.00001,1641038,40558,0,0,,,,,,
bookshelf_tall,48,cbf-rrtc,0,0,5.00003,2118141,5276,0.0133365,0.0201436,,,,,,
bookshelf_tall,49,rrtconnect,0,1,0.00660934,7089,78,0,0,0.00500376,0,820,0,0.00249477,0
bookshelf_tall,49,cbf-rrtc,0,1,0.00263464,992,16,0.0369495,0.0725806,-0.000484933,195,1179,0,0.00249477,0
bookshelf_tall,50,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,50,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,51,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,51,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,52,rrtconnect,0,1,0.00425341,4566,54,0,0,0.00193625,0,1491,0,0.00249477,0
bookshelf_tall,52,cbf-rrtc,0,1,0.00194587,739,12,0.0322686,0.14479,-0.000369318,103,717,0,0.00249477,0
bookshelf_tall,53,rrtconnect,0,1,0.000659269,691,9,0,0,0.00193797,0,397,0,0.00249477,0
bookshelf_tall,53,cbf-rrtc,0,1,0.000363931,140,7,0.0540963,0.142857,-0.000756041,119,473,0,0.00249477,0
bookshelf_tall,54,rrtconnect,0,1,0.00125083,1352,17,0,0,0.0027486,0,522,0,0.00249477,0
bookshelf_tall,54,cbf-rrtc,0,1,0.00102365,431,11,0.0434838,0.160093,-0.0159146,130,791,0,0.00249477,0
bookshelf_tall,55,rrtconnect,0,1,0.0359114,36953,424,0,0,0.00341472,0,1039,0,0.00249477,0
bookshelf_tall,55,cbf-rrtc,0,1,0.00106299,401,10,0.0371397,0.117207,-0.00372515,12,533,0,0.00249477,0
bookshelf_tall,56,rrtconnect,0,1,0.00965241,10201,102,0,0,0.0038823,0,610,0,0.00249477,0
bookshelf_tall,56,cbf-rrtc,0,1,0.000598949,260,9,0.0533252,0.157692,-0.0118326,15,560,0,0.00249477,0
bookshelf_tall,57,rrtconnect,0,1,0.00416769,4465,53,0,0,0.000596511,0,771,0,0.00249477,0
bookshelf_tall,57,cbf-rrtc,0,1,0.00175137,660,12,0.0305967,0.0681818,-0.00222773,58,716,0,0.00249477,0
bookshelf_tall,58,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,58,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,59,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,59,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,60,rrtconnect,0,0,5.00006,1586610,38628,0,0,,,,,,
bookshelf_tall,60,cbf-rrtc,0,0,5.00028,2108831,5136,0.0132522,0.0196891,,,,,,
bookshelf_tall,61,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,61,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,62,rrtconnect,0,1,0.0142452,15046,149,0,0,0.00412827,0,766,0,0.00249477,0
bookshelf_tall,62,cbf-rrtc,0,1,0.00144497,537,10,0.0286766,0.0689013,-0.0047235,134,776,0,0.00249477,0
bookshelf_tall,63,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,63,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,64,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,64,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,65,rrtconnect,0,1,0.00105732,1109,15,0,0,0.000599378,0,577,0,0.00249477,0
bookshelf_tall,65,cbf-rrtc,0,1,0.000766267,291,8,0.0366258,0.0859107,-0.000899811,136,637,0,0.00249477,0
bookshelf_tall,66,rrtconnect,0,1,0.00867467,9256,109,0,0,0.00201272,0,986,0,0.00249477,0
bookshelf_tall,66,cbf-rrtc,0,1,0.000736666,285,9,0.035506,0.0736842,-0.000496554,176,671,0,0.00249477,0
bookshelf_tall,68,rrtconnect,0,1,0.000694208,734,10,0,0,0.00121539,0,632,0,0.00249477,0
bookshelf_tall,68,cbf-rrtc,0,1,0.000262298,125,6,0.0530413,0.28,-0.00204046,50,393,0,0.00249477,0
bookshelf_tall,69,rrtconnect,0,1,0.0102244,10927,117,0,0,-1.79526e-05,1,1587,0,0.00249477,0
bookshelf_tall,69,cbf-rrtc,0,1,0.00497004,1831,25,0.0288826,0.0557073,-0.000615383,157,926,0,0.00249477,0
bookshelf_tall,70,rrtconnect,0,1,0.00153005,1608,21,0,0,9.05989e-05,0,840,0,0.00249477,0
bookshelf_tall,70,cbf-rrtc,0,1,0.00239594,927,15,0.0282011,0.0647249,-0.000403481,162,1074,0,0.00249477,0
bookshelf_tall,71,rrtconnect,0,1,0.0192249,20305,216,0,0,4.5404e-05,0,896,0,0.00249477,0
bookshelf_tall,71,cbf-rrtc,0,1,0.00428991,1679,23,0.0280327,0.0387135,-0.00284767,25,689,0,0.00249477,0
bookshelf_tall,72,rrtconnect,0,1,0.00064538,677,10,0,0,0.000333602,0,426,0,0.00249477,0
bookshelf_tall,72,cbf-rrtc,0,1,0.000172256,91,6,0.0818227,0.472527,-0.000985327,8,418,0,0.00249477,0
bookshelf_tall,73,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,73,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,74,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,74,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,75,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,75,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,76,rrtconnect,0,0,5.00003,1602043,39750,0,0,,,,,,
bookshelf_tall,76,cbf-rrtc,0,0,5.00016,2153890,5566,0.0134037,0.0201329,,,,,,
bookshelf_tall,77,rrtconnect,0,1,0.00508509,5455,61,0,0,0.00525103,0,632,0,0.00249477,0
bookshelf_tall,77,cbf-rrtc,0,1,0.00102016,380,10,0.0348928,0.110526,-0.00534055,132,821,0,0.00249477,0
bookshelf_tall,78,rrtconnect,0,1,0.00619085,6832,80,0,0,0.00114418,0,801,0,0.00249477,0
bookshelf_tall,78,cbf-rrtc,0,1,0.00162038,671,12,0.0337553,0.107303,-0.00113534,128,823,0,0.00249477,0
bookshelf_tall,79,rrtconnect,0,1,0.000930482,992,14,0,0,0.00126536,0,857,0,0.00249477,0
bookshelf_tall,79,cbf-rrtc,0,1,0.000943702,397,9,0.0331242,0.070529,-0.010321,214,779,0,0.00249477,0
bookshelf_tall,80,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,80,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,81,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,81,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,82,rrtconnect,0,1,0.00420668,4702,52,0,0,0.00125162,0,777,0,0.00249477,0
bookshelf_tall,82,cbf-rrtc,0,1,0.0014273,614,12,0.0392536,0.138436,-0.00377577,31,687,0,0.00249477,0
bookshelf_tall,83,rrtconnect,0,1,0.0035111,3896,45,0,0,0.00046112,0,737,0,0.00249477,0
bookshelf_tall,83,cbf-rrtc,0,1,0.00250112,1009,16,0.0305786,0.0297324,-0.00897789,88,1016,0,0.00249477,0
bookshelf_tall,84,rrtconnect,0,1,0.000622196,670,10,0,0,0.00126655,0,482,0,0.00249477,0
bookshelf_tall,84,cbf-rrtc,0,1,0.00290533,1236,18,0.0302931,0.0202265,-0.00256022,397,1218,0,0.00249477,0
bookshelf_tall,85,rrtconnect,0,1,0.00227457,2534,31,0,0,2.76211e-05,0,505,0,0.00249477,0
bookshelf_tall,85,cbf-rrtc,0,1,0.0588126,25806,312,0.0274422,0.0647911,-0.000332803,25,850,0,0.00249477,0
bookshelf_tall,86,rrtconnect,0,1,0.0020418,2264,26,0,0,0.00109109,0,706,0,0.00249477,0
bookshelf_tall,86,cbf-rrtc,0,1,0.00124863,487,10,0.030926,0.0205339,-0.00026032,96,606,0,0.00249477,0
bookshelf_tall,87,rrtconnect,0,1,0.00109874,1218,16,0,0,0.00110105,0,593,0,0.00249477,0
bookshelf_tall,87,cbf-rrtc,0,1,0.000200169,102,6,0.0749739,0.382353,-0.00403997,40,422,0,0.00249477,0
bookshelf_tall,88,rrtconnect,0,1,0.0019207,2143,26,0,0,0.00133418,0,551,0,0.00249477,0
bookshelf_tall,88,cbf-rrtc,0,1,0.000321334,162,5,0.0474925,0.271605,-2.19779e-05,1,355,0,0.00249477,0
bookshelf_tall,89,rrtconnect,0,1,0.00147583,1660,22,0,0,0.00337047,0,1109,0,0.00249477,0
bookshelf_tall,89,cbf-rrtc,0,1,0.002795,1129,18,0.0295749,0.0637733,-0.00888778,197,812,0,0.00249477,0
bookshelf_tall,90,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,90,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,91,rrtconnect,0,1,0.0226861,24292,284,0,0,0.00223826,0,881,0,0.00249477,0
bookshelf_tall,91,cbf-rrtc,0,1,0.000361857,161,7,0.0533369,0.15528,-9.09366e-05,14,503,0,0.00249477,0
bookshelf_tall,93,rrtconnect,0,1,0.00256899,2840,34,0,0,0.00235264,0,803,0,0.00249477,0
bookshelf_tall,93,cbf-rrtc,0,1,0.00105744,458,11,0.035118,0.148472,-0.00757514,141,705,0,0.00249477,0
bookshelf_tall,94,rrtconnect,0,0,5.00001,1626529,39997,0,0,,,,,,
bookshelf_tall,94,cbf-rrtc,0,0,5.00001,2198050,5431,0.0131517,0.0195555,,,,,,
bookshelf_tall,95,rrtconnect,0,0,5.00002,1613878,39250,0,0,,,,,,
bookshelf_tall,95,cbf-rrtc,0,0,5.00008,2171004,5166,0.0131167,0.0191326,,,,,,
bookshelf_tall,96,rrtconnect,0,1,0.00294225,3263,38,0,0,0.00221861,0,973,0,0.00249477,0
bookshelf_tall,96,cbf-rrtc,0,1,0.00033297,139,6,0.0440148,0.208633,-9.4377e-06,28,372,0,0.00249477,0
bookshelf_tall,98,rrtconnect,0,0,5.00001,1659867,40818,0,0,,,,,,
bookshelf_tall,98,cbf-rrtc,0,0,5.00013,2185166,5283,0.0131691,0.019755,,,,,,
bookshelf_tall,99,rrtconnect,0,1,0.00183401,2044,26,0,0,0.00583595,0,602,0,0.00249477,0
bookshelf_tall,99,cbf-rrtc,0,1,0.00249854,997,18,0.0333984,0.0672016,-0.00038878,490,1421,0,0.00249477,0
bookshelf_tall,100,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,100,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,1,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,1,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,2,rrtconnect,0,1,0.00255315,2809,33,0,0,0.00396986,0,998,0,0.00249477,0
bookshelf_thin,2,cbf-rrtc,0,1,0.00574519,2118,26,0.0259471,0.0372993,-0.00162302,205,644,0,0.00249477,0
bookshelf_thin,3,rrtconnect,0,1,0.000261092,283,6,0,0,0.00358906,0,347,0,0.00249477,0
bookshelf_thin,3,cbf-rrtc,0,1,0.000127085,78,6,0.0959271,0.717949,1.99687e-05,0,414,0,0.00249477,0
bookshelf_thin,4,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,4,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,5,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,5,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,6,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,6,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,7,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,7,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,8,rrtconnect,0,1,0.00547627,6070,60,0,0,0.000945259,0,809,0,0.00249477,0
bookshelf_thin,8,cbf-rrtc,0,1,0.000215291,96,6,0.0680696,0.229167,-4.75479e-05,73,375,0,0.00249477,0
bookshelf_thin,9,rrtconnect,0,1,0.00159898,1773,17,0,0,0.00127221,0,621,0,0.00249477,0
bookshelf_thin,9,cbf-rrtc,0,1,0.000113846,59,6,0.10716,0.576271,5.83986e-06,0,347,0,0.00249477,0
bookshelf_thin,10,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,10,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,11,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,11,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,12,rrtconnect,0,1,0.000592183,639,10,0,0,0.00292816,0,761,0,0.00249477,0
bookshelf_thin,12,cbf-rrtc,0,1,0.00288311,1215,19,0.0305956,0.0436214,-0.0046551,82,975,0,0.00249477,0
bookshelf_thin,13,rrtconnect,0,1,0.000748398,834,12,0,0,0.000540507,0,627,0,0.00113524,0
bookshelf_thin,13,cbf-rrtc,0,1,0.000186555,85,6,0.0732282,0.223529,-0.00188174,48,343,0,0.00249477,0
bookshelf_thin,14,rrtconnect,0,1,0.00137173,1513,19,0,0,0.00298432,0,582,0,0.00249477,0
bookshelf_thin,14,cbf-rrtc,0,1,0.000335785,156,6,0.0393898,0.147436,-0.0019228,28,360,0,0.00249477,0
bookshelf_thin,15,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,15,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,16,rrtconnect,0,1,0.000777688,851,12,0,0,0.000499893,0,684,0,0.00249477,0
bookshelf_thin,16,cbf-rrtc,0,1,0.00773733,2936,34,0.0228603,0.0292916,-0.00352499,97,944,0,0.00249477,0
bookshelf_thin,17,rrtconnect,0,1,0.0016028,1764,23,0,0,0.000816871,0,608,0,0.00249477,0
bookshelf_thin,17,cbf-rrtc,0,1,0.000396167,173,6,0.0439265,0.225434,-0.00113075,36,421,0,0.00249477,0
bookshelf_thin,18,rrtconnect,0,1,0.000945236,1055,15,0,0,0.0028467,0,850,0,0.00249477,0
bookshelf_thin,18,cbf-rrtc,0,1,0.000580165,228,8,0.0418746,0.0877193,-0.00316372,111,611,0,0.00249477,0
bookshelf_thin,19,rrtconnect,0,1,0.00989849,10890,123,0,0,0.00347508,0,1279,0,0.00249477,0
bookshelf_thin,19,cbf-rrtc,0,1,0.000437713,188,6,0.0472846,0.180851,-0.0018736,30,448,0,0.00249477,0
bookshelf_thin,20,rrtconnect,0,1,0.017476,19269,172,0,0,0.00590373,0,727,0,0.00249477,0
bookshelf_thin,20,cbf-rrtc,0,1,0.000249979,111,6,0.0593563,0.252252,-0.00628879,30,409,0,0.00249477,0
bookshelf_thin,21,rrtconnect,0,1,0.00272809,3032,36,0,0,0.00185224,0,617,0,0.00249477,0
bookshelf_thin,21,cbf-rrtc,0,1,0.00033446,133,7,0.0521578,0.142857,-0.00185335,121,411,0,0.00249477,0
bookshelf_thin,22,rrtconnect,0,1,0.00416973,4624,56,0,0,0.000205574,0,801,0,0.00249477,0
bookshelf_thin,22,cbf-rrtc,0,1,0.00625042,2317,23,0.0245889,0.0608546,-0.00392626,168,1312,0,0.00221675,0
bookshelf_thin,23,rrtconnect,0,1,0.00213602,2303,28,0,0,0.000266726,0,616,0,0.00249477,0
bookshelf_thin,23,cbf-rrtc,0,1,0.00231132,878,16,0.0319067,0.0888383,-0.00663263,464,1076,0,0.00249477,0
bookshelf_thin,24,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,24,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,25,rrtconnect,0,1,0.00352953,3942,42,0,0,0.00202925,0,887,0,0.00249477,0
bookshelf_thin,25,cbf-rrtc,0,1,0.000460426,203,8,0.0491122,0.17734,-0.00843813,141,613,0,0.00249477,0
bookshelf_thin,26,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,26,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,27,rrtconnect,0,1,0.000387539,419,7,0,0,0.00117592,0,498,0,0.00249477,0
bookshelf_thin,27,cbf-rrtc,0,1,0.000290043,123,6,0.0520496,0.138211,-8.9653e-05,26,376,0,0.00249477,0
bookshelf_thin,28,rrtconnect,0,1,0.00120529,1330,18,0,0,0.00304138,0,547,0,0.00249477,0
bookshelf_thin,28,cbf-rrtc,0,1,0.00145354,622,12,0.0378969,0.128617,-0.00673714,33,409,0,0.00249477,0
bookshelf_thin,29,rrtconnect,0,1,0.00320946,3566,31,0,0,0.000152877,0,1075,0,0.00249477,0
bookshelf_thin,29,cbf-rrtc,0,1,0.000121527,76,6,0.0901668,0.736842,-0.00038472,1,377,0,0.00249477,0
bookshelf_thin,30,rrtconnect,0,1,0.00561675,6190,71,0,0,0.000590891,0,931,0,0.00249477,0
bookshelf_thin,30,cbf-rrtc,0,1,0.00606923,2281,25,0.0250732,0.0394564,-0.00964868,459,1763,0,0.00249477,0
bookshelf_thin,31,rrtconnect,0,1,0.000869824,956,13,0,0,0.00134185,0,682,0,0.00249477,0
bookshelf_thin,31,cbf-rrtc,0,1,0.00043847,181,7,0.0398093,0.132597,-0.00186006,108,461,0,0.00249477,0
bookshelf_thin,32,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,32,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,33,rrtconnect,0,1,0.000819095,908,13,0,0,0.00188333,0,876,0,0.00249477,0
bookshelf_thin,33,cbf-rrtc,0,1,0.0018429,752,13,0.0300434,0.0970745,-0.00298621,180,876,0,0.00249477,0
bookshelf_thin,34,rrtconnect,0,1,0.00348629,3909,45,0,0,0.00230773,0,1135,0,0.00249477,0
bookshelf_thin,34,cbf-rrtc,0,1,0.00299446,1179,19,0.0294079,0.0780322,-0.00256015,81,907,0,0.00249477,0
bookshelf_thin,35,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,35,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,36,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_thin,36,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
