scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90,qp_rows_per_call_p10,qp_rows_per_call_p25,qp_rows_per_call_p50,qp_rows_per_call_p75,qp_rows_per_call_p90
all scenes,rrtconnect,520,2.104226,3.610895,7.18464,26.8139,227.89430000000033,7.0,10.0,18.0,60.0,617.8000000000006,1009.4000000000001,1645.0,3312.5,12256.25,109310.1,,,,,
all scenes,qp-plain,520,2.7779850000000006,3.8688525,8.030045,30.20005,108.54120000000002,6.0,7.0,12.0,28.25,83.20000000000005,423.9,622.0,1213.5,3953.25,16255.700000000006,343.0,343.0,343.0,343.0,343.0
all scenes,qp-fixed,520,2.5862990000000003,3.58751,7.610855000000001,28.264225,101.81710000000005,6.0,7.0,12.0,28.25,83.20000000000005,423.9,622.0,1213.5,3953.25,16255.700000000006,238.49588464696225,250.552340467948,264.44227338365476,276.50374090721414,287.98145664887664
all scenes,qp-lipsch,520,0.7511024000000001,1.4613299999999998,4.77359,21.713375,90.75235000000002,6.0,7.0,12.0,29.0,85.0,114.80000000000001,212.25,651.0,2854.5,12372.2,248.52264957264958,260.8945598820642,273.0084905117332,288.90587397549234,298.37348314606743
all scenes,qp-free,519,12.443220000000002,25.85885,57.1032,201.2495,1802.2499999999993,12.800000000000004,21.0,36.0,90.5,621.9999999999998,2440.2000000000003,5179.0,11741.0,39008.5,362310.7999999999,,,,,
all scenes,qp-envelope,520,0.5532091000000001,1.00412,3.3845149999999995,13.95925,79.99947000000002,6.0,7.0,12.0,28.25,85.20000000000005,56.900000000000006,113.75,428.5,1778.75,9484.900000000009,248.66090102297292,260.7277928762449,274.0520673362058,290.2878522107139,299.53983103879847
bookshelf_small,rrtconnect,57,1.671756,2.41527,9.464129999999999,22.0099,56.51089999999997,6.0,8.0,23.0,46.0,135.59999999999997,746.0,1204.0,4238.0,9302.0,27831.599999999995,,,,,
bookshelf_small,qp-plain,57,2.5424900000000004,3.57521,5.3044,11.3996,34.539759999999994,5.6000000000000005,6.0,7.0,15.0,29.4,397.8,480.0,720.0,1422.0,4809.799999999999,343.0,343.0,343.0,343.0,343.0
bookshelf_small,qp-fixed,57,2.3492699999999997,3.2699399999999996,4.94759,11.2275,33.91542,5.6000000000000005,6.0,7.0,15.0,29.4,397.8,480.0,720.0,1422.0,4809.799999999999,239.67966031089446,253.86010362694302,268.1856946354883,285.1696504688832,296.78243888272607
bookshelf_small,qp-lipsch,57,0.6644932,1.5722500000000001,2.28727,6.76056,30.36725999999999,5.6000000000000005,6.0,7.0,15.0,31.199999999999996,118.2,231.0,326.0,823.0,3912.7999999999997,244.6479427549195,266.49056603773585,287.4633027522936,304.3839765510503,308.08539321388935
bookshelf_small,qp-free,57,5.299724,10.457799999999999,38.6646,122.958,334.304,8.0,13.0,24.0,67.0,122.19999999999996,1039.2,2443.0,7072.0,21199.0,60370.8,,,,,
bookshelf_small,qp-envelope,57,0.4307654,0.992443,1.9403599999999999,4.72418,20.44794,5.6000000000000005,6.0,7.0,15.0,30.4,45.800000000000004,99.0,233.0,611.0,2563.5999999999995,245.83651870517542,270.11538461538464,290.3089430894309,305.5446025685526,310.2798573975045
bookshelf_tall,rrtconnect,46,2.16166,3.772285,9.258545,26.285625,53.7224,8.5,10.5,24.0,60.0,129.0,1162.5,1693.5,4638.0,11824.25,25925.0,,,,,
