scene,n,seconds_cert,seconds_fixed,seconds_ratio,seconds_ratio_paired,samples_cert,samples_fixed,samples_ratio,samples_ratio_paired,vertices_cert,vertices_fixed,vertices_ratio,vertices_ratio_paired,rad_per_call_cert,rad_per_call_fixed,rad_per_call_ratio,rad_per_call_ratio_paired,path_length_cert,path_length_fixed,path_length_ratio,path_length_ratio_paired,coarse_cert,total_ms_cert,total_ms_fixed,unsafe_cert,unsafe_fixed,audited_cert,audited_fixed
bookshelf_small,100,0.6382495,0.7193395,1.1270506283201163,1.2355847649775895,259.0,311.0,1.2007722007722008,1.3808755823891048,10.0,10.0,1.0,1.0,0.04228245,0.03144075,0.7435886520293882,0.7347904140722294,8.401625,8.264254999999999,0.9836495915968636,0.9547313494181826,0.2065222761,109.52361499999999,109.658487,582,543,58202,59043
bookshelf_tall,100,1.217285,1.1706699999999999,0.9617057632353967,1.0509148757527795,467.0,486.0,1.0406852248394005,1.0781253694639523,13.0,14.0,1.0769230769230769,1.0,0.0323071,0.0287289,0.8892441599524563,0.871950442982109,10.021705,9.696165,0.967516505424975,0.9635724847409481,0.12415869819999999,173.04463900000002,221.23717700000003,238,233,67345,66134
bookshelf_thin,100,0.7058385,0.904223,1.2810621693206024,1.1964935787136675,282.5,401.0,1.4194690265486725,1.3662831542457012,11.0,11.5,1.0454545454545454,1.1031746031746033,0.0421787,0.03022465,0.716585622600981,0.715603028245039,9.131145,8.700205,0.9528054805832128,0.9645160488298976,0.201692796,115.64169899999999,138.52914099999998,851,807,59437,63320
box,100,0.41094600000000003,0.4655245,1.1328118536255372,1.389789324562313,169.5,236.0,1.392330383480826,1.6192307692307693,8.0,8.0,1.0,1.1339285714285714,0.05160335,0.031057750000000002,0.6018553059055275,0.6153871691622551,7.375585,6.818495,0.924468364204331,0.941876562962014,0.208067662,82.66727299999998,97.791133,26,57,48954,49967
cage,100,14.515,15.73345,1.0839441956596623,1.030773369930037,5651.5,6132.5,1.0851101477483853,1.0423555380572767,94.5,96.5,1.0211640211640212,1.0,0.026902250000000003,0.024348250000000002,0.9050637028501334,0.9176558600258415,19.68815,20.560899999999997,1.0443286951795876,0.9872834714893087,0.041340906000000004,1622.73703,1799.4074600000001,326,305,127543,131332
table_pick,100,0.188757,0.4347725,2.3033450415083943,1.789899559095309,87.5,252.0,2.88,2.260064412238325,7.0,9.0,1.2857142857142858,1.125,0.0802007,0.0311482,0.3883781563003814,0.392057062119315,7.897685,7.625970000000001,0.9655956144110585,0.9322920634838784,0.369047814,29.281934999999997,40.654680000000006,119,132,43743,44826
table_under_pick,100,1.87088,2.054825,1.0983200419054135,1.049625453157292,732.0,876.5,1.1974043715846994,1.0906654992565308,19.0,21.0,1.105263157894737,1.0,0.0304568,0.027697199999999998,0.9093929762811589,0.8940939117169131,12.639299999999999,12.22305,0.9670670052930148,0.9683382804653702,0.1016909699,229.645237,255.87695599999998,907,905,86759,88287
