scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90,qp_rows_per_call_p10,qp_rows_per_call_p25,qp_rows_per_call_p50,qp_rows_per_call_p75,qp_rows_per_call_p90
bookshelf_thin,qp-envelope,60,0.6458178000000001,1.2195325000000001,2.941415,7.3370375,11.842150000000002,6.0,6.0,10.0,14.25,20.200000000000003,91.9,191.75,383.0,943.5,1518.9,235.29039988409158,248.9212407833717,260.2886527772526,278.66535008201674,293.1580575083475
box,rrtconnect,100,1.974687,3.3713675,5.348889999999999,8.0292675,11.521610000000004,7.0,10.0,13.5,22.25,29.0,995.8000000000001,1607.75,2314.0,4106.75,5380.100000000001,,,,,
box,qp-plain,100,2.360884,3.3375075,5.206185,11.02545,19.171100000000003,6.0,6.0,8.0,15.0,23.300000000000026,402.8,448.75,673.5,1452.0,2278.5000000000036,343.0,343.0,343.0,343.0,343.0
box,qp-free,100,11.343846000000001,20.901874999999997,41.6648,75.85885,144.00720000000007,12.9,19.0,26.5,47.25,60.50000000000004,2061.9,4019.25,7817.5,16543.0,24442.40000000001,,,,,
box,qp-envelope,100,0.5526689,0.753173,1.2950249999999999,3.4500900000000003,8.262217000000003,6.0,6.0,8.0,14.25,25.10000000000001,53.0,80.0,158.0,422.75,952.1000000000003,244.4224824355972,257.4739506355306,273.59508928571427,287.7199059561128,295.4926877470356
cage,rrtconnect,99,42.692820000000005,84.10995,243.324,525.7835,886.9518000000002,104.6,208.0,656.0,1411.5,2868.6000000000004,20590.6,40124.0,111838.0,222284.0,401898.0000000001,,,,,
cage,qp-plain,99,22.394660000000002,57.30435,119.542,197.6805,287.865,23.8,45.0,86.0,127.0,175.8,3687.4,7103.5,17033.0,27973.5,43676.6,343.0,343.0,343.0,343.0,343.0
cage,qp-free,98,529.2565000000002,970.7375,1980.895,3268.7625,4912.673999999999,190.30000000000004,388.75,650.5,1080.75,1647.6999999999998,94060.60000000002,223393.5,387434.0,682519.25,1046738.0,,,,,
cage,qp-envelope,99,9.873522000000001,25.6973,81.7953,134.536,194.77560000000003,23.8,43.0,93.0,131.5,176.60000000000002,1409.0,3314.0,9856.0,18436.5,27819.4,259.1874059049322,265.657202215861,268.774378585086,274.3582282113134,281.52288954006195
table_pick,rrtconnect,100,1.6826160000000001,2.4407924999999997,3.72297,6.2773275,10.227220000000012,7.0,8.0,10.0,17.0,23.10000000000001,865.8,1171.0,1667.5,2989.25,4410.2000000000035,,,,,
table_pick,qp-plain,100,2.187345,3.077,4.222945,5.42194,7.967982000000014,5.0,6.0,7.0,7.0,13.0,399.4,505.5,645.0,737.75,1150.6000000000008,343.0,343.0,343.0,343.0,343.0
table_pick,qp-free,100,11.05922,14.917425,35.57985,65.623025,142.2263000000001,11.9,17.75,24.5,44.5,70.0,2116.7,3329.75,6605.5,14128.25,27447.900000000005,,,,,
table_pick,qp-envelope,100,0.3657895,0.5217912499999999,0.780243,2.009945,3.6214230000000063,5.0,6.0,7.0,8.0,15.0,44.0,58.75,87.0,262.5,485.9000000000001,255.6170352170352,261.18755980861243,275.0119333427482,290.5647563081848,296.1710590322488
table_under_pick,rrtconnect,58,2.785427,3.709565,4.96444,6.808692499999999,9.531975,8.0,10.0,13.5,16.0,20.300000000000004,1156.8,1625.75,2296.0,2862.75,3821.6000000000004,,,,,
table_under_pick,qp-plain,58,5.44022,8.2719825,16.33485,32.99795,55.55635000000003,10.0,12.25,17.0,31.75,49.90000000000001,764.6,1291.75,2112.5,3923.0,7718.200000000001,343.0,343.0,343.0,343.0,343.0
table_under_pick,qp-free,58,16.638250000000003,25.942725,41.81914999999999,61.701750000000004,80.02221,12.0,16.25,25.0,31.75,42.300000000000004,3183.5,5341.25,7980.5,12012.5,16118.300000000001,,,,,
table_under_pick,qp-envelope,58,1.8773140000000001,3.0998275,9.235955,18.1589,33.86327000000001,10.0,12.0,17.0,32.75,52.300000000000004,193.1,524.25,1042.5,2293.75,4650.700000000003,248.14404005524864,263.51791561836626,279.91488940881175,290.34309636731507,296.18919259024125
