planner,solved,median,mean,p90,p99,mx,total,evals,verts,path,unsafe,audited
rrtconnect,140/140,1.1326450000000001,15.709150914285715,48.449580000000026,230.77650999999878,307.987,2199.281128,1286.0,17.0,13.38775,244,96343
cbf-rrtc,140/140,0.745703,3.6791335499999995,12.34208000000001,33.36809499999993,58.410900000000005,515.0786969999999,310.0,11.0,9.460450000000002,647,97423
vamp-rrtc,140/140,0.10038050000000001,3.9963323285714294,3.9430490000000074,73.79037899999992,155.812,559.4865260000001,3547.0,20.0,14.01305,359,99697
