seed,scene,problem,method,eligible,solved,seconds,samples,vertices,skipped
200,pillars,1,isSafe,1,1,0.000203,226,7,0
200,pillars,1,qpAdaptive,1,1,0.000120,65,7,0
200,pillars,2,isSafe,1,1,0.000182,200,6,0
200,pillars,2,qpAdaptive,1,1,0.000050,25,6,0
200,pillars,3,isSafe,1,1,0.000137,153,5,0
200,pillars,3,qpAdaptive,1,1,0.000052,32,5,0
200,pillars,4,isSafe,1,1,0.000152,189,6,0
200,pillars,4,qpAdaptive,1,1,0.000073,55,6,0
0,pillars,1,qpEnvelope,1,1,0.000127,35,7,0
0,pillars,2,qpEnvelope,1,1,0.000075,19,6,0
0,pillars,3,qpEnvelope,1,1,0.000055,14,5,0
0,pillars,4,qpEnvelope,1,1,0.000070,21,6,0
100,pillars,1,qpEnvelope,1,1,0.000130,40,7,0
100,pillars,2,qpEnvelope,1,1,0.000072,20,7,0
100,pillars,3,qpEnvelope,1,1,0.000054,13,5,0
100,pillars,4,qpEnvelope,1,1,0.000079,24,7,0
200,pillars,1,qpEnvelope,1,1,0.000151,44,7,0
200,pillars,2,qpEnvelope,1,1,0.000073,16,6,0
200,pillars,3,qpEnvelope,1,1,0.000056,16,5,0
200,pillars,4,qpEnvelope,1,1,0.000082,27,6,0
0,pillars,1,qpFixed,1,1,0.000178,164,7,0
0,pillars,2,qpFixed,1,1,0.000189,135,6,0
0,pillars,3,qpFixed,1,1,0.000124,108,5,0
0,pillars,4,qpFixed,1,1,0.000157,135,6,0
100,pillars,1,qpFixed,1,1,0.000178,157,7,0
100,pillars,2,qpFixed,1,1,0.000164,134,7,0
100,pillars,3,qpFixed,1,1,0.000125,117,5,0
100,pillars,4,qpFixed,1,1,0.000156,146,7,0
200,pillars,1,qpFixed,1,1,0.000203,151,7,0
200,pillars,2,qpFixed,1,1,0.000163,129,6,0
200,pillars,3,qpFixed,1,1,0.000131,112,5,0
200,pillars,4,qpFixed,1,1,0.000160,146,6,0
0,pillars,1,qpFreeGate,1,1,0.000193,164,7,0
0,pillars,2,qpFreeGate,1,1,0.000192,135,6,0
0,pillars,3,qpFreeGate,1,1,0.000121,108,5,0
0,pillars,4,qpFreeGate,1,1,0.000156,135,6,0
100,pillars,1,qpFreeGate,1,1,0.000169,157,7,0
100,pillars,2,qpFreeGate,1,1,0.000156,134,7,0
100,pillars,3,qpFreeGate,1,1,0.000122,117,5,0
100,pillars,4,qpFreeGate,1,1,0.000156,146,7,0
200,pillars,1,qpFreeGate,1,1,0.000197,151,7,0
200,pillars,2,qpFreeGate,1,1,0.000163,129,6,0
200,pillars,3,qpFreeGate,1,1,0.000133,112,5,0
200,pillars,4,qpFreeGate,1,1,0.000161,146,6,0
0,shelf,1,isSafe,1,1,0.001456,1268,9,0
0,shelf,1,qpAdaptive,1,1,0.004618,2747,12,0
0,shelf,2,isSafe,1,1,0.003891,3983,11,0
0,shelf,2,qpAdaptive,1,1,0.001091,701,12,0
0,shelf,3,isSafe,1,1,0.001686,1379,11,0
0,shelf,3,qpAdaptive,1,1,0.000365,200,11,0
0,shelf,4,isSafe,1,1,0.000379,462,7,0
0,shelf,4,qpAdaptive,1,1,0.000270,332,9,0
100,shelf,1,isSafe,1,1,0.001423,467,9,0
100,shelf,1,qpAdaptive,1,1,0.006355,408,10,0
100,shelf,2,isSafe,1,1,0.001896,5040,11,0
100,shelf,2,qpAdaptive,1,1,0.001535,2731,27,0
100,shelf,3,isSafe,1,1,0.001284,1897,7,0
100,shelf,3,qpAdaptive,1,1,0.000314,110,7,0
100,shelf,4,isSafe,1,1,0.000498,562,10,0
100,shelf,4,qpAdaptive,1,1,0.000280,538,14,0
200,shelf,1,isSafe,1,1,0.001926,365,9,0
200,shelf,1,qpAdaptive,1,1,0.003324,1014,17,0
