scene,seed,config,goal,solved,seconds,unsafe,calls
shelf,0,sequential,upper_bay_left,1,0.000551,0,206
shelf,0,sequential,upper_bay_right,1,0.000351,0,170
shelf,0,picard_fixed,lower_bay_left,1,0.027372,0,25328
shelf,0,picard_fixed,lower_bay_right,1,0.00665,0,3271
shelf,0,picard_fixed,upper_bay_left,1,0.003357,0,1219
shelf,0,picard_fixed,upper_bay_right,1,0.001978,0,1356
shelf,0,picard_adaptive,lower_bay_left,1,0.005239,0,4119
shelf,0,picard_adaptive,lower_bay_right,1,0.001255,0,573
shelf,0,picard_adaptive,upper_bay_left,1,0.000643,0,238
shelf,0,picard_adaptive,upper_bay_right,1,0.000419,0,232
shelf,1,picard_fixed,lower_bay_left,1,0.019788,0,5774
shelf,1,picard_fixed,lower_bay_right,1,0.008364,1,6248
shelf,1,picard_fixed,upper_bay_left,1,0.009722,0,1373
shelf,1,picard_fixed,upper_bay_right,1,0.003799,0,1446
shelf,1,picard_adaptive,lower_bay_left,1,0.003354,0,993
shelf,1,picard_adaptive,lower_bay_right,1,0.00145,1,1073
shelf,1,picard_adaptive,upper_bay_left,1,0.001977,0,266
shelf,1,picard_adaptive,upper_bay_right,1,0.001003,0,364
shelf,1,sequential,lower_bay_left,1,0.002497,0,610
shelf,1,sequential,lower_bay_right,1,0.001991,1,747
shelf,1,sequential,upper_bay_left,1,0.001104,0,242
shelf,1,sequential,upper_bay_right,1,0.000827,0,310
shelf,2,picard_adaptive,lower_bay_left,1,0.007409,0,1497
shelf,2,picard_adaptive,lower_bay_right,1,0.00179,0,1284
shelf,2,picard_adaptive,upper_bay_left,1,0.000493,0,189
shelf,2,picard_adaptive,upper_bay_right,1,0.000582,0,218
shelf,2,sequential,lower_bay_left,1,0.004158,0,1165
shelf,2,sequential,lower_bay_right,1,0.002443,0,1025
shelf,2,sequential,upper_bay_left,1,0.000405,0,164
shelf,2,sequential,upper_bay_right,1,0.000471,0,183
shelf,2,picard_fixed,lower_bay_left,1,0.044235,0,9006
shelf,2,picard_fixed,lower_bay_right,1,0.01714,0,7870
shelf,2,picard_fixed,upper_bay_left,1,0.002474,0,991
shelf,2,picard_fixed,upper_bay_right,1,0.002014,0,756
corridor,0,sequential,corridor_entrance_from_above,1,0.00039,0,109
corridor,0,sequential,under_the_ceiling,1,0.001116,0,525
corridor,0,sequential,far_end_under_the_ceiling,1,0.001885,0,489
corridor,0,picard_fixed,corridor_entrance_from_above,1,0.001216,0,507
corridor,0,picard_fixed,under_the_ceiling,1,0.010136,0,3843
corridor,0,picard_fixed,far_end_under_the_ceiling,1,0.01152,0,3528
corridor,0,picard_adaptive,corridor_entrance_from_above,1,0.000508,0,137
corridor,0,picard_adaptive,under_the_ceiling,1,0.001879,0,698
corridor,0,picard_adaptive,far_end_under_the_ceiling,1,0.001974,0,637
corridor,1,picard_fixed,corridor_entrance_from_above,1,0.001195,0,273
corridor,1,picard_fixed,under_the_ceiling,1,0.018582,0,7174
corridor,1,picard_fixed,far_end_under_the_ceiling,1,0.029034,0,6704
corridor,1,picard_adaptive,corridor_entrance_from_above,1,0.000469,0,124
corridor,1,picard_adaptive,under_the_ceiling,1,0.002963,0,1318
corridor,1,picard_adaptive,far_end_under_the_ceiling,1,0.005009,0,1135
corridor,1,sequential,corridor_entrance_from_above,1,0.00035,0,95
corridor,1,sequential,under_the_ceiling,1,0.002306,0,929
corridor,1,sequential,far_end_under_the_ceiling,1,0.003777,0,848
corridor,2,picard_adaptive,corridor_entrance_from_above,1,0.000446,0,206
corridor,2,picard_adaptive,under_the_ceiling,1,0.004581,0,1700
corridor,2,picard_adaptive,far_end_under_the_ceiling,1,0.004508,0,1773
corridor,2,sequential,corridor_entrance_from_above,1,0.000324,0,169
corridor,2,sequential,under_the_ceiling,1,0.002639,0,1021
corridor,2,sequential,far_end_under_the_ceiling,1,0.003163,0,1281
corridor,2,picard_fixed,corridor_entrance_from_above,1,0.00105,0,647
corridor,2,picard_fixed,under_the_ceiling,1,0.028143,0,10450
corridor,2,picard_fixed,far_end_under_the_ceiling,1,0.028232,0,10904
