seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,audit_safe
1,bookshelf_tall,1,isSafe,1,1,0.000407163,447,8,10.752,7,539,0,0.00385175,0.00249477,0,0,0.0,0.0,7,3,1.14286,0,0,0,True
1,bookshelf_tall,1,qpFixed,1,1,0.000455956,337,11,9.66061,596,596,0,0.00101367,0.00249477,0,0,0.0370729,0.0,2,2,5.5,0,0,0,True
1,bookshelf_tall,1,bubbleCBF,1,1,0.000439031,230,10,10.7755,598,598,0,0.00171393,0.00249477,0,0,0.0570359,0.273913,2,2,5,0,0,0,True
1,bookshelf_tall,1,qpFreeGate,1,0,5.00003,1499957,51395,0.0,0,0,0,inf,inf,0,0,0.0252104,0.0,384197,51393,0.133773,0,0,0,False
1,bookshelf_tall,1,VAMP,1,1,8.6789e-05,1438,12,11.9051,7,597,0,0.00142864,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,True
1,bookshelf_tall,2,isSafe,1,1,0.00496029,5880,64,11.2735,8,565,0,0.00531366,0.00249477,0,0,0.0,0.0,521,59,0.122841,0,0,0,True
1,bookshelf_tall,2,qpFixed,1,1,0.00125264,659,23,14.5179,978,978,0,0.000165037,0.00249477,0,0,0.0307995,0.0,5,5,4.6,0,0,0,True
1,bookshelf_tall,2,bubbleCBF,1,1,0.00131894,564,21,14.5393,950,950,0,0.000359974,0.00249477,0,0,0.0360754,0.0301418,5,5,4.2,0,0,0,True
1,bookshelf_tall,2,qpFreeGate,1,1,0.00444723,4223,93,15.6067,942,942,0,0.00317469,0.00249477,0,0,0.032381,0.0,418,85,0.222488,0,0,0,True
1,bookshelf_tall,2,VAMP,1,1,0.000112271,2977,17,13.3133,8,667,4,-0.00289186,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,False
1,bookshelf_tall,8,isSafe,1,1,0.00224492,2698,32,18.4548,11,924,0,0.000278469,0.00249477,0,0,0.0,0.0,163,27,0.196319,0,0,0,True
1,bookshelf_tall,8,qpFixed,1,1,0.000305288,252,9,7.49798,505,505,0,0.000278469,0.00249477,0,0,0.0297539,0.0,1,1,9,0,0,0,True
1,bookshelf_tall,8,bubbleCBF,1,1,0.000163332,93,7,7.59621,430,430,0,0.000278469,0.00249477,0,0,0.0816797,0.354839,1,1,7,0,0,0,True
1,bookshelf_tall,8,qpFreeGate,1,0,5.00005,1449290,49251,0.0,0,0,0,inf,inf,0,0,0.0249101,0.0,382801,49249,0.12866,0,0,0,False
1,bookshelf_tall,8,VAMP,1,1,0.000324714,10629,45,21.2113,12,1062,0,0.000278469,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,True
