seed,method,eligible_runs,returned_solutions,return_rate_pct,audit_safe_solutions,audit_safe_rate_pct,unsafe_returned,returned_precision_pct,median_ms_safe,p90_ms_safe,median_samples_safe,p90_samples_safe,median_vertices_safe,median_path_length_safe,total_seconds,total_samples,safe_solutions_per_second,amortized_ms_per_safe_solution,amortized_samples_per_safe_solution
1,isSafe,140,140,100.0,77,55.0,63,55.0,1.5271,28.248420000000056,1754,31272.200000000055,22,13.8705,2.594577102,2448296,29.67728341572329,33.69580651948052,31796.051948051947
1,qpFixed,140,140,100.0,87,62.142857142857146,53,62.142857142857146,0.501092,6.15453,299,3297.2000000000007,10,8.1998,0.28249729,156818,307.96755607814856,3.247095287356322,1802.5057471264367
1,bubbleCBF,140,140,100.0,85,60.714285714285715,55,60.714285714285715,0.605109,7.32833,282,3166.000000000001,10,9.3759,0.340506756,149911,249.62793983447423,4.0059618352941175,1763.6588235294118
1,qpFreeGate,140,80,57.142857142857146,80,57.142857142857146,0,100.0,2.3202350000000003,47.53659000000005,2159.5,39528.80000000004,55.0,14.8012,301.239054709,89742056,0.2655698149009291,3765.4881838624997,1121775.7
1,VAMP,140,140,100.0,71,50.714285714285715,69,50.714285714285715,0.086589,1.3789900000000002,2915,45411,15,12.6906,0.303427507,7867529,233.99328789264976,4.27362685915493,110810.26760563381
2,isSafe,140,140,100.0,86,61.42857142857143,54,61.42857142857143,1.458405,42.643150000000006,1643.5,46087.0,20.0,13.25065,1.922787882,1926274,44.726722487218176,22.357998627906976,22398.53488372093
2,qpFixed,140,140,100.0,77,55.0,63,55.0,0.45459,7.404528000000001,292,3897.000000000002,9,8.05138,0.299378168,167270,257.19978351928455,3.888028155844156,2172.3376623376626
2,bubbleCBF,140,140,100.0,81,57.857142857142854,59,57.857142857142854,0.5510120000000001,7.67974,258,3330,11,8.58794,0.317718067,139546,254.94300895391007,3.9224452716049387,1722.79012345679
2,qpFreeGate,140,80,57.142857142857146,80,57.142857142857146,0,100.0,2.22809,82.74481000000011,2166.5,64543.30000000008,52.5,14.444700000000001,301.778329847,90137516,0.2650952440506897,3772.2291230875003,1126718.95
2,VAMP,140,140,100.0,71,50.714285714285715,69,50.714285714285715,0.107792,0.862539,3332,38662,19,12.9975,0.208162554,6252354,341.079596861595,2.931866957746479,88061.32394366198
3,isSafe,140,140,100.0,89,63.57142857142857,51,63.57142857142857,1.24789,36.70124,1385,41211.2,18,12.0748,3.2296805180000003,2832292,27.556905243096242,36.28854514606742,31823.505617977527
3,qpFixed,140,140,100.0,80,57.142857142857146,60,57.142857142857146,0.5608839999999999,6.011317000000004,354.5,3380.700000000002,11.0,8.593105000000001,0.283906274,159958,281.7831352328621,3.548828425,1999.475
3,bubbleCBF,140,140,100.0,80,57.142857142857146,60,57.142857142857146,0.7074499999999999,6.429238000000004,312.0,2918.200000000001,11.0,9.43442,0.299640981,133950,266.986177034309,3.7455122624999992,1674.375
3,qpFreeGate,140,80,57.142857142857146,80,57.142857142857146,0,100.0,1.83317,57.816520000000075,1742.5,48264.40000000005,43.5,15.6713,301.630662192,89691520,0.26522502526310404,3770.3832773999993,1121144.0
3,VAMP,140,140,100.0,81,57.857142857142854,59,57.857142857142854,0.07309500000000001,0.9599399999999999,2388,39316,15,11.594,0.561571874,11781984,144.237992944782,6.932986098765432,145456.59259259258
