method,eligible_runs,returned_solutions,return_rate_pct,audit_safe_solutions,audit_safe_rate_pct,unsafe_returned,returned_precision_pct,median_ms_safe,p90_ms_safe,median_samples_safe,p90_samples_safe,median_vertices_safe,median_path_length_safe,total_seconds,total_samples,safe_solutions_per_second,amortized_ms_per_safe_solution,amortized_samples_per_safe_solution,paired_time_speedup_vs_isSafe,paired_sample_reduction_vs_isSafe,paired_safe_cases
isSafe,420,420,100.0,252,60.0,168,60.0,1.3805649999999998,36.89353,1571.0,41115.6,19.0,13.10785,7.747045502,7206862,32.52852973884598,30.742244055555556,28598.65873015873,1.0,1.0,252
qpFixed,420,420,100.0,244,58.095238095238095,176,58.095238095238095,0.521709,6.498223000000005,308.0,3608.7,10.0,8.268015,0.865781732,484046,281.82622823000384,3.5482857868852458,1983.795081967213,2.122703610632354,3.722488038277512,151
bubbleCBF,420,420,100.0,246,58.57142857142857,174,58.57142857142857,0.629722,7.33436,297.5,3225.0,11.0,9.1649,0.957865804,423407,256.8209439910228,3.893763430894309,1721.1666666666667,2.9424235774738476,6.742446573323507,162
qpFreeGate,420,240,57.142857142857146,240,57.142857142857146,0,100.0,2.098245,59.764929999999964,1984.5,49389.39999999997,50.0,14.915849999999999,904.648046748,269571092,0.26529654362571653,3769.3668614499998,1123212.8833333333,0.79588597458967,0.9736828035198299,166
VAMP,420,420,100.0,223,53.095238095238095,197,53.095238095238095,0.086589,0.9584074,2915,39643.200000000004,16,12.3108,1.0731619350000001,25901867,207.79715784458938,4.812385358744395,116151.86995515694,10.812126591785873,0.43312101910828027,195
